"WO No.","Part Name","Part Drg No.","Req. Qty","Type","BOM Upload Dt","Design Eng","Approved By","Dwg Rls Dt"
"AL1435.05","05-39-00-TIE SPACER PLT","AL1435.05-05-39-00-TIE SPACER PLT","16","","20-11-2021","Dayanand","PPRAJ","2021-11-20"
"AL1435.05","05-86-00-SUPPORT GUID EROD","AL1435.05-05-86-00-SUPPORT GUID EROD","36","","25-08-2021","Kiran","PPRAJ","2021-08-25"
"AL1435.05","06-010-00-V BLOCK","AL1435.05-06-010-00-V BLOCK","1","","07-04-2022","Dayanand","PPRAJ","2022-04-07"
"AL1435.05","06-190-00-SPACER BUSH","AL1435.05-06-190-00-SPACER BUSH","1","","29-01-2022","Dayanand","PPRAJ","2022-01-29"
"AL1435.05","03-140-00-CYLINDER COUPLER","AL1435.05-03-140-00-CYLINDER COUPLER","1","","07-04-2022","Dayanand","PPRAJ","2022-04-07"
"AL1435.05","06-130-00-SETTING MANDRAL","AL1435.05-06-130-00-SETTING MANDRAL","1","","08-04-2022","Dayanand","PPRAJ","2022-04-08"
"AL1435.05","02-120-00-GUIDE ROD HOLDER PLATE","AL1435.05-02-120-00-GUIDE ROD HOLDER PLATE","4","","23-04-2022","Dayanand","PPRAJ","2022-04-23"
"AL1435.05","08-020-00-U BLOCK","AL1435.05-08-020-00-U BLOCK","1","","06-06-2022","Dayanand","PPRAJ","2022-06-06"
"AL1435.05","06-160-00-SPACER BLOCK","AL1435.05-06-160-00-SPACER BLOCK","1","","07-04-2022","Dayanand","PPRAJ","2022-04-07"
"AL1435.05","05-16-00-CYLINDER STOPER PLT","AL1435.05-05-16-00-CYLINDER STOPER PLT","18","","18-09-2021","Kiran","PPRAJ","2021-09-18"
"AL1435.05","05-070-00-GRIPPER PAD","AL1435.05-05-070-00-GRIPPER PAD","4","","07-04-2022","Dayanand","PPRAJ","2022-04-07"
"AL1435.05","05-19-00-STOPPER PLT","AL1435.05-05-19-00-STOPPER PLT","19","","17-11-2021","Dayanand","PPRAJ","2021-11-17"
"AL1435.05","02-390-00-FINE ADJUSTMENT THREAD","AL1435.05-02-390-00-FINE ADJUSTMENT THREAD","4","","23-04-2022","Dayanand","PPRAJ","2022-04-23"
"AL1435.05","06-170-00-NYLON STOPPER","AL1435.05-06-170-00-NYLON STOPPER","1","","07-04-2022","Dayanand","PPRAJ","2022-04-07"
"AL1435.06","01-120-00-SHAFT MOUNT PLATE","01-120-00-SHAFT MOUNT PLATE","2","","27-05-2022","Nitish","PPRAJ","2022-05-27"
"AL1435.07","02-06-00-V-BLOCK","AL1435.07-02-06-00","6","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-19-00-PISTON ROD PLATE","AL1435.07-05-19-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-10-00-MOTOR PULLEY","AL1435.07-05-10-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-09-00-SPACER FOR DRIVEN PULLEY","AL1435.07-05-09-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-23-00-ACRYLIC MTG PLATE","AL1435.07-05-23-00","2","","11-09-2021","Amar","PPRAJ","2021-09-11"
"AL1435.07","05-12-00-MOTOR SUPPORT","AL1435.07-05-12-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-06-00-DRIVEN PULLEY","AL1435.07-05-06-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-02-00-GUIDE STRIP","AL1435.07-02-02-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-02-00-PLATE","AL1435.07-05-02-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","04-12-00-FRONT DOOR","AL1435.07-04-12-00","2","","12-03-2022","Sunil","PPRAJ","2022-03-12"
"AL1435.07","02-09-00-BUTTING CAP","AL1435.07-02-09-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-24-00-SPACER","AL1435.07-05-24-00","1","","17-06-2022","Amar","PPRAJ","2022-06-17"
"AL1435.07","02-06-R1-V-BLOCK","AL1435.07-02-06-R1","6","","21-04-2022","Amar","PPRAJ","2022-04-21"
"AL1435.07","05-21-00-BELT ARM COVER PLATE","AL1435.07-05-21-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-05-00-V-BLOCK HSG PLATE-RH","AL1435.07-02-05-00","6","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-18-00-PIN-PISTON ROD LINK","AL1435.07-05-18-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-03-00-PROBE GUIDE STRIP","AL1435.07-02-03-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-15-00-SHOULDER SCREW","AL1435.07-05-15-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-13-00-BELT SHAFT","AL1435.07-05-13-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-08-00-CLAMPING PLT","AL1435.07-05-08-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-05-00-ADJUSTING KNOB","AL1435.07-05-05-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-03-00-M10 SCREW BAR","AL1435.07-05-03-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-08-00-END STOPPER SHAFT","AL1435.07-02-08-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","01-20-00-BUSH FOR FIXTURE","AL1435.07-01-20-00","4","","10-03-2022","Sunil","PPRAJ","2022-03-10"
"AL1435.07","05-22-00-BELT ARM FRAME PLATE","AL1435.07-05-22-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","04-10-00-SIDE DOOR","AL1435.07-04-10-00","2","","12-03-2022","Sunil","PPRAJ","2022-03-12"
"AL1435.07","02-10-00-PROBE SLIDING PLT","AL1435.07-02-10-00","5","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-20-00-CYL PIN","AL1435.07-05-20-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-04-00-V-BLOCK HSG PLATE-LH","AL1435.07-02-04-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","01-030-00-BASE CLAMP","AL1435.07-01-030-00","3","","14-09-2021","Amar","PPRAJ","2021-09-14"
"AL1435.07","05-16-00-BEARING SPACER","AL1435.07-05-16-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-14-00-BELT JOINT","AL1435.07-05-14-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-07-00-PULLEY PIN","AL1435.07-05-07-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-11-00-ACRYLIC MTG PLATE","AL1435.07-02-11-00","2","","11-09-2021","Amar","PPRAJ","2021-09-11"
"AL1435.07","05-11-00-MOTOR PLATE","AL1435.07-05-11-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-04-00-STOPPER SLEEVE","AL1435.07-05-04-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-01-00-BASE MTG PLATE","AL1435.07-02-01-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","05-01-00-GUIDE ROD","AL1435.07-05-01-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","04-11-00-BACK DOOR","AL1435.07-04-11-00","1","","12-03-2022","Sunil","PPRAJ","2022-03-12"
"AL1435.07","02-07-00-PROBE HOLDER","AL1435.07-02-07-00","10","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1435.07","02-08-R1-END STOPPER SHAFT","AL1435.07-02-08-R1","3","","21-04-2022","Amar","PPRAJ","2022-04-21"
"AL1435.07","05-17-00-CYL SUPPORT FRAME","AL1435.07-05-17-00","3","","27-08-2021","Amar","PPRAJ","2021-08-28"
"AL1436.01","04-050-00-TABLE","AL1436.01-04-050-00","2","","30-08-2021","Pavithra","Chandru","2021-08-30"
"AL1436.01","04-060-00-MOP BOX","AL1436.01-04-060-00","1","","30-08-2021","Pavithra","Chandru","2021-08-30"
"AL1436.02","31-157-00 OUTER SPACER","AL1436.02-31-157-00","1","","09-07-2022","Amar","PPRAJ","2022-07-09"
"AL1436.02","01-001-00-PAPER FORMING PLT","AL1436.02-01-001-00","1","","15-09-2021","Amar","PPRAJ","2021-09-15"
"AL1436.02","15-03-R1-WALKING BEAM-FRONT  SIDE PLT","AL1436.02-15-03-R1","1","","07-06-2022","Amar","PPRAJ","2022-06-07"
"AL1436.02","02-040-R1-SIDE GUIDE PLT","AL1436.02-02-040-R1","2","","18-05-2022","Amar","PPRAJ","2022-05-18"
"AL1436.02","31-191-00- BOTTOM ROLLER MOUNTING  BRKT","AL1436.02-31-191-00","1","","04-01-2022","Amar","PPRAJ","2022-01-04"
"AL1436.02","16-061-R1-INSERTER BLADE","AL1436.02-16-061-R1","2","","18-05-2022","Amar","PPRAJ","2022-05-18"
"AL1436.02","01-002-00-PAPER FORMING PLT","AL1436.02-01-002-00","3","","22-10-2021","Amar","PPRAJ","2021-10-22"
"AL1436.02","31-002-00 SHAFT FOR FEMALE ROLLER","AL1436.02-31-002-00","1","","09-07-2022","Amar","PPRAJ","2022-07-09"
"AL1436.02","12-008-00 PROFILE SUPPORT TUBE","AL1436.02-12-008-00","8","","27-11-2021","Amar","PPRAJ","2021-11-27"
"AL1436.02","15-02-R1-WALKING BEAM-BACK SIDE PLT","AL1436.02-15-02-R1","1","","07-06-2022","Amar","PPRAJ","2022-06-07"
"AL1436.02","02-030-R1-SIDE GUIDE PLT RH","AL1436.02-02-030-R1","2","","18-05-2022","Amar","PPRAJ","2022-05-18"
"AL1436.03","18-120-00-COM LOCATOR","AL1436.03-18-120-00","1","","18-07-2022","Amar","PPRAJ","2022-07-18"
"AL1436.03","04-250-00-COMPONENT HOLDER JAW","AL1436.03-04-250-00","7","","30-12-2021","Amar","PPRAJ","2021-12-30"
"AL1436.03","10-57-00-PART PRS SEN","AL1436.03-10-57-00","8","","06-06-2022","Amar","PPRAJ","2022-06-06"
"AL1436.03","08-21-00-CENTRE BLOCK","AL1436.03-08-21-00","2","","09-06-2022","Amar","PPRAJ","2022-06-09"
"AL1436.03","18-100-00-COMPONENT LOCATOR","AL1436.03-18-100-00","1","","18-07-2022","Amar","PPRAJ","2022-07-18"
"AL1436.03","10-70-00-PART PRESENCE SNSR MTG BLK","AL1436.03-10-70-00","5","","17-11-2021","Amar","PPRAJ","2021-11-17"
"AL1436.03","05-11-R1-COLLET","AL1436.03-05-11-R1","10","","14-05-2022","Amar","PPRAJ","2022-05-14"
"AL1436.03","18-110-00-COMP GUIDE","AL1436.03-18-110-00","1","","18-07-2022","Amar","PPRAJ","2022-07-18"
"AL1436.03","10-55-00 SENSOR MTG BRKT","AL1436.03-10-55-00","30","","24-05-2022","Amar","PPRAJ","2022-05-26"
"AL1436.03","06-34-00-RUBBER WHEEL-Ø95","AL1436.03-06-34-00","20","","28-12-2021","Amar","PPRAJ","2021-12-28"
"AL1436.03","08-22-00-BALANCING WEDGE","AL1436.03-08-22-00","4","","09-06-2022","Amar","PPRAJ","2022-06-09"
"AL1436.03","18-130-00-COMP GUIDE PIN","AL1436.03-18-130-00","1","","18-07-2022","Amar","PPRAJ","2022-07-18"
"AL1436.03","18-140-00-JACKING PLT","AL1436.03-18-140-00","1","","18-07-2022","Amar","PPRAJ","2022-07-18"
"AL1436.03","04-240-00- SPACER PLATE","AL1436.03-04-240-00","2","","30-12-2021","Amar","PPRAJ","2021-12-30"
"AL1436.03","03-72-00-BUSH FOR GRIPPER SHAFT","AL1436.03-03-72-00","8","","30-11-2021","Amar","PPRAJ","2021-12-13"
"AL1436.03","10-56-00 SENSOR MTG BRKT","AL1436.03-10-56-00","8","","06-06-2022","Amar","PPRAJ","2022-06-06"
"AL1436.03","08-20-00-CENTRE BLOCK","AL1436.03-08-20-00","2","","09-06-2022","Amar","PPRAJ","2022-06-09"
"AL1436.05","02-040-00-LM BLOCK STOPPER","AL1436.05-02-040-00-LM BLOCK STOPPER","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","01-075-00-PNEUMATIC PLATE","AL1436.05-01-075-00-PNEUMATIC PLATE","1","","14-09-2021","Kiran","PPRAJ","2021-09-14"
"AL1436.05","02-064-00-CYLINDER CONNECTING PLATE","AL1436.05-02-064-00-CYLINDER CONNECTING PLATE","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-17-00-DRAW BAR","AL1436.05-03-17-00-DRAW BAR","12","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-085-00-ACTUATOR PULLEY","AL1436.05-02-085-00-ACTUATOR PULLEY","2","","05-01-2022","Dayanand","PPRAJ","2022-01-05"
"AL1436.05","03-250-00-HOSE PIPE","AL1436.05-03-250-00-HOSE PIPE","2","","08-11-2021","Kiran","PPRAJ","2021-11-08"
"AL1436.05","01-042-00-CABINET MOUNTING BRACKET","AL1436.05-01-042-00-CABINET MOUNTING BRACKET","6","","23-10-2021","Kiran","PPRAJ","2021-10-23"
"AL1436.05","02-170-00-ANODE & CATHODE CONNECTING BLK","AL1436.05-02-170-00-ANODE & CATHODE CONNECTING BLK","30","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","05-110-00-CYLINDER MGT PLATE","AL1436.05-05-110-00-CYLINDER MGT PLATE","7","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","05-250-00-SENSOR PLATE","AL1436.05-05-250-00-SENSOR PLATE","1","","28-12-2021","Dayanand","PPRAJ","2021-12-28"
"AL1436.05","06-040-00-SPACER PLATE","AL1436.05-06-040-00-SPACER PLATE","7","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
"AL1436.05","05-200-00-PULLEY SPACER","AL1436.05-05-200-00-PULLEY SPACER","6","","10-12-2021","Dayanand","PPRAJ","2021-12-10"
"AL1436.05","03-320-00-SUPPORT PLATE","AL1436.05-03-320-00-SUPPORT PLATE","1","","22-06-2022","Dayanand","PPRAJ","2022-06-22"
"AL1436.05","02-240-00-CLAMPING BUSH TOP","AL1436.05-02-240-00-CLAMPING BUSH TOP","60","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-11-HOLLOW  CYLINDER  SHAFT SPACER","AL1436.05-03-11-HOLLOW  CYLINDER  SHAFT SPACER","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-461-00-ELECTRICAL BUS BAR LH","AL1436.05-02-461-00-ELECTRICAL BUS BAR LH","7","","18-09-2021","Dayanand","PPRAJ","2021-09-18"
"AL1436.05","02-070-00-TOP SLIDE LM BLOCK MTG PLT","AL1436.05-02-070-00-TOP SLIDE LM BLOCK MTG PLT","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-180-00-BACK FACE COVER","AL1436.05-03-180-00-BACK FACE COVER","1","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","04-34-00-SENSOR MTG BKT","AL1436.05-04-34-00-SENSOR MTG BKT","2","","28-12-2021","Dayanand","PPRAJ","2021-12-28"
"AL1436.05","02-150-R1-BUSH","AL1436.05-02-150-R1-BUSH","50","","10-12-2021","Dayanand","PPRAJ","2021-12-10"
"AL1436.05","03-290-00-JACKING PLATE","AL1436.05-03-290-00-JACKING PLATE","1","","22-06-2022","Dayanand","PPRAJ","2022-06-22"
"AL1436.05","08-020-00-SENSOR MTG PLATE","AL1436.05-08-020-00-SENSOR MTG PLATE","20","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
"AL1436.05","02-062-00-LM BLOCK MTG PLATE","AL1436.05-02-062-00-LM BLOCK MTG PLATE","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","02-550-00-PULLEY HOLDER","AL1436.05-02-550-00-PULLEY HOLDER","2","","29-06-2022","Dayanand","PPRAJ","2022-06-29"
"AL1436.05","03-08-00-HOLLOW CYL END COVER","AL1436.05-03-08-00-HOLLOW CYL END COVER","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-240-R1-CLAMPING BUSH TOP","AL1436.05-02-240-R1-CLAMPING BUSH TOP","4","","11-12-2021","Dayanand","PPRAJ","2021-12-11"
"AL1436.05","02-270-00-ANODE ROD","AL1436.05-02-270-00","3","","25-09-2021","Dayanand","PPRAJ","2021-09-25"
"AL1436.05","02-450-00-ELECTRICAL BUS BAR","AL1436.05-02-450-00-ELECTRICAL BUS BAR","8","","18-09-2021","Dayanand","PPRAJ","2021-09-18"
"AL1436.05","01-162-00-BASE WIRE SLT COVER","AL1436.05-01-162-00-BASE WIRE SLT COVER","2","","02-02-2022","Dayanand","PPRAJ","2022-02-02"
"AL1436.05","02-330-00-RAIL BUTTING CLAMP","AL1436.05-02-330-00-RAIL BUTTING CLAMP","36","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-150-00-SLIDE GUIDE PLATE","AL1436.05-03-150-00-SLIDE GUIDE PLATE","12","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","01-163-R1-PAD FOR TRANSFORMER PLT","AL1436.05-01-163-R1-PAD FOR TRANSFORMER PLT","24","","03-12-2021","Dayanand","PPRAJ","2021-12-03"
"AL1436.05","01-164-00-TRANCERFORMER BOTTOM SHEET","AL1436.05-01-164-00-TRANCERFORMER BOTTOM SHEET","1","","26-11-2021","Dayanand","PPRAJ","2021-11-26"
"AL1436.05","06-010-00-V BLOCK","AL1436.05-06-010-00-V BLOCK","1","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
"AL1436.05","02-110-00-STD GUIDE ROD","AL1436.05-02-110-00-STD GUIDE ROD","8","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-05-00-INDEXER SLDNG SHAFT","AL1436.05-03-05-00-INDEXER SLDNG SHAFT","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-340-00-COPPER SPACER","AL1436.05-02-340-00-COPPER SPACER","12","","18-09-2021","Dayanand","PPRAJ","2021-09-18"
"AL1436.05","02-067-00-SPING SPACER","AL1436.05-02-067-00-SPING SPACER","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-120-00-MOTOR SUPPORT PLATE","AL1436.05-03-120-00-MOTOR SUPPORT PLATE","12","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-020-R1CYLINDER MTG PLATE LH & RH","AL1436.05-02-020-R1CYLINDER MTG PLATE LH & RH","2","","05-01-2022","Dayanand","PPRAJ","2022-01-05"
"AL1436.05","02-510-00-SCREW SLOT WASHER","AL1436.05-02-510-00-SCREW SLOT WASHER","30","","15-12-2021","Dayanand","PPRAJ","2021-12-15"
"AL1436.05","05-121-00-SUPPORT BLOCK SPACER","AL1436.05-05-121-00-SUPPORT BLOCK SPACER","7","","09-10-2021","Kiran","PPRAJ","2021-10-09"
"AL1436.05","02-220-00-SPRING CONNECTING BUSH","AL1436.05-02-220-00-SPRING CONNECTING BUSH","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-100-00-LM RAIL MTG PLATE","AL1436.05-03-100-00-LM RAIL MTG PLATE","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","01-167-00-CLAMP","AL1436.05-01-167-00-CLAMP","2","","14-06-2022","Dayanand","PPRAJ","2022-06-14"
"AL1436.05","02-310-00-COUPLER PLATE","AL1436.05-02-310-00-COUPLER PLATE","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-44-00-INDEXER  MOTOR MTG PLT","AL1436.05-03-44-00-INDEXER  MOTOR MTG PLT","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-512-00-MOTOR MTG PLATE","AL1436.05-02-512-00-MOTOR MTG PLATE","2","","05-01-2022","Dayanand","PPRAJ","2022-01-05"
"AL1436.05","02-410-00-RETAINER","AL1436.05-02-410-00-RETAINER","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","06-120-00-COMPONENT END STOPPER PLT","AL1436.05-06-120-00-COMPONENT END STOPPER PLT","7","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
"AL1436.05","02-085-R1-ACTUATOR PULLEY","AL1436.05-02-085-R1-ACTUATOR PULLEY","4","","12-07-2022","Dayanand","PPRAJ","2022-07-12"
"AL1436.05","02-080-00-SPACER PLATE","AL1436.05-02-080-00-SPACER PLATE","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-47-00-SPRING","AL1436.05-03-47-00-SPRING","10","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-480-00-SPRING","AL1436.05-02-480-00-SPRING","12","","22-10-2021","Kiran","PPRAJ","2021-10-22"
"AL1436.05","01-163-00-PAD FOR TRANSFORMER PLT","AL1436.05-01-163-00-PAD FOR TRANSFORMER PLT","48","","14-09-2021","Kiran","PPRAJ","2021-09-14"
"AL1436.05","02-065-00-GUIDE STIP","AL1436.05-02-065-00-GUIDE STIP","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-18-00-INEXER MOTOR MTG PLT","AL1436.05-03-18-00-INEXER MOTOR MTG PLT","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-086-00-ACTUATOR PULLEY","AL1436.05-02-086-00-ACTUATOR PULLEY","2","","05-01-2022","Dayanand","PPRAJ","2022-01-05"
"AL1436.05","02-180-00-CATHODE HOLDER BLOCK","AL1436.05-02-180-00-CATHODE HOLDER BLOCK","14","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","05-061-00-BOTTOM PLATE","AL1436.05-05-061-00-BOTTOM PLATE","32","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","06-050-00-STOPPER PAD","AL1436.05-06-050-00-STOPPER PAD","7","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
"AL1436.05","05-220-00-ADITIONAL SPACER","AL1436.05-05-220-00-ADITIONAL SPACER","7","","10-12-2021","Dayanand","PPRAJ","2021-12-10"
"AL1436.05","02-090-00-SUPPORT PLATE","AL1436.05-02-090-00-SUPPORT PLATE","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-14-00-THRUST BEARING SHAFT","AL1436.05-03-14-00-THRUST BEARING SHAFT","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-71-00-REATAINER WASHER","AL1436.05-02-71-00-REATAINER WASHER","60","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-200-00-COUPLER PLATE","AL1436.05-03-200-00-COUPLER PLATE","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","04-35-00-PART PRASENT SENSOR BKT","AL1436.05-04-35-00-PART PRASENT SENSOR BKT","1","","28-12-2021","Dayanand","PPRAJ","2021-12-28"
"AL1436.05","03-220-00-SPLIT BUSH","AL1436.05-03-220-00-SPLIT BUSH","6","","10-12-2021","Dayanand","PPRAJ","2021-12-10"
"AL1436.05","03-300-00-JACKING THREAD","AL1436.05-03-300-00-JACKING THREAD","1","","22-06-2022","Dayanand","PPRAJ","2022-06-22"
"AL1436.05","02-063-00-CYLINDER MTG PLATE","AL1436.05-02-063-00-CYLINDER MTG PLATE","12","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","02-560-00-SLIT BUSH","AL1436.05-02-560-00-SLIT BUSH","2","","29-06-2022","Dayanand","PPRAJ","2022-06-29"
"AL1436.05","03-09-00-HOLLOW CYL HSG","AL1436.05-03-09-00-HOLLOW CYL HSG","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","03-270-00-SCREW PLATE","AL1436.05-03-270-00-SCREW PLATE","2","","11-12-2021","Dayanand","PPRAJ","2021-12-11"
"AL1436.05","02-460-00-ELECTRICAL BUS BAR RH","AL1436.05-02-460-00-ELECTRICAL BUS BAR RH","11","","18-09-2021","Dayanand","PPRAJ","2021-09-18"
"AL1436.05","02-010-00-LM RAIL MTG PLATE","AL1436.05-02-010-00-LM RAIL MTG PLATE","6","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-160-00-SIDE COVER","AL1436.05-03-160-00-SIDE COVER","2","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","01-A05-00-TUBE STRUCTURE BASE ASSY","AL1436.05-01-A05-00-TUBE STRUCTURE BASE ASSY","3","","09-09-2021","Kiran","PPRAJ","2021-09-09"
"AL1436.05","06-020-00-V BLOCK HODER","AL1436.05-06-020-00-V BLOCK HODER","7","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
"AL1436.05","02-120-00-GUIDE ROD HOLDER PLATE","AL1436.05-02-120-00-GUIDE ROD HOLDER PLATE","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-06-00-SPUR GEAR 2M-75T 20PA 20FW","AL1436.05-03-06-00-SPUR GEAR 2M-75T 20PA 20FW","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-230-R2-CLAMPING BUSH BOTTOM","AL1436.05-02-230-R2-CLAMPING BUSH BOTTOM","50","","20-12-2021","Dayanand","PPRAJ","2021-12-20"
"AL1436.05","02-280-00-CATHODE PLATE","AL1436.05-02-280-00-CATHODE PLATE","12","","18-09-2021","Dayanand","PPRAJ","2021-09-18"
"AL1436.05","02-068-00-GUIDE PLATE","AL1436.05-02-068-00-GUIDE PLATE","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-130-00-CYLINDER MTG PLATE","AL1436.05-03-130-00-CYLINDER MTG PLATE","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-050-R1-CYLINDER COUPLER","AL1436.05-02-050-R1-CYLINDER COUPLER","2","","05-01-2022","Dayanand","PPRAJ","2022-01-05"
"AL1436.05","05-122-00-SUPPORT BLOCK SPACER","AL1436.05-05-122-00-SUPPORT BLOCK SPACER","7","","09-10-2021","Kiran","PPRAJ","2021-10-09"
"AL1436.05","02-390-00-FINE ADJUSTMENT THREAD","AL1436.05-02-390-00-FINE ADJUSTMENT THREAD","24","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-01-00-INDEXER HSG PLT","AL1436.05-03-01-00-INDEXER HSG PLT","6","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-150-00-BUSH","AL1436.05-02-150-00-BUSH","60","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","03-46-00-EJECTOR PIN","AL1436.05-03-46-00-EJECTOR PIN","12","","25-08-2021","Dayanand","PPRAJ","2021-08-25"
"AL1436.05","02-530-00-JACKING PLATE","AL1436.05-02-530-00-JACKING PLATE","2","","05-01-2022","Dayanand","PPRAJ","2022-01-05"
"AL1436.05","02-440-00-SAFTY COVER","AL1436.05-02-440-00-SAFTY COVER","2","","30-08-2021","Dayanand","PPRAJ","2021-08-30"
"AL1436.05","06-07-00-PAWL","AL1436.05-06-07-00-PAWL","14","","16-11-2021","Dayanand","PPRAJ","2021-11-16"
